database_title,description,date_added,url,# Do not add other column labs to the right of the tags column. All unnamed columns containing data will be interpretted as tags.,tags,,,,,,,
"EM-DAT Philippines Geocoded Dataset, 1980-2012, Version 1.0","This geocoded dataset represents all natural disaster records in EM-DAT's database for the Philippines between 1980 and 2012. The ""disasters.csv"" file contains 421 records pertaining to individual disasters, and the ""locations.csv"" file contains 1815 location records that relate (many to one) to corresponding records in the ""disasters.csv"" file.",4/5/23,https://www.aiddata.org/data/em-dat-phl,,AidData,geocode,GIS,Phillipines,EM-DAT,natural disaster,development,
"Nepal Earthquake Geocoded Research Release, Version 1.0","This geocoded dataset release represents all projects in UNOCHA's 2015 flash appeal for the Nepal earthquake available from the Financial Tracking Service (FTS) at fts.unocha.org as of February 19, 2016. It tracks $280,218,108.00 in geocoded disbursements spread across 156 projects in 852 locations during 2015.",4/5/23,https://www.aiddata.org/data/nepal-earthquake-geocoded-research-release-level-1-v1-0,,AidData,Nepal,natural disaster,earthquake,UNOCHA,geocode,GIS,development
"Uganda AIMS Geocoded Research Release, Version 1.4.1","This dataset includes all geocoded projects from Uganda's Aid Management Platform (AMP). It tracks more than $12 billion in commitments for 565 geocoded projects across 2,426 locations between 1978 and 2014.",4/5/23,https://www.aiddata.org/data/uganda-aims-geocoded-research-release-level-1-v1-4-1,,AidData,Uganda,geocode,GIS,development,AIMS,,
"Nepal AIMS Geocoded Research Release, Version 1.4.1","This dataset includes all geocoded projects from Nepal's Aid Management Platform (AMP). It tracks over $5.9 billion in commitments for 475 projects across 20,952 locations between 1997 and 2014.",4/5/23,https://www.aiddata.org/data/nepal-aims-geocoded-research-release-level-1-v1-4-1,,AidData,Nepal,geocode,GIS,development,AIMS,,
"Timor-Leste AIMS Geocoded Research Release, Version 1.4.1","This dataset includes all geocoded projects from Timor-Leste's Aid Management Platform (AMP). It tracks more than $1.5 billion in commitments for 499 projects across 3,506 locations between 1998 and 2015.",4/5/23,https://www.aiddata.org/data/timor-leste-aims-geocoded-research-release-level-1-v1-4-1,,AidData,Timor-Leste,geocode,GIS,development,AIMS,,
"Nigeria AIMS Geocoded Research Release, Version 1.3.2","This dataset includes all geocoded projects from Nigeria's Development Assistance Database (DAD). This dataset tracks more than $2.1 billion in commitments for 595 projects across 1,843 locations between 1988 and 2014.",4/5/23,https://www.aiddata.org/data/nigeria-aims-geocoded-research-release-level-1-v1-3-1,,AidData,Nigeria,geocode,GIS,development,AIMS,,
"Bangladesh Select Donors Geocoded Research Release, Version 1.1.1","This geocoded dataset release represents projects that were active in Bangladesh in 2014 from 9 select donors: USAID, JICA, World Bank, Asian Development Bank, EU, India, UNDP, Islamic Development Bank, DfID. It tracks 288 geocoded projects across 3641 locations and $18,924,503,171.06 in geocoded commitments between 2000 and 2015.",4/5/23,https://www.aiddata.org/data/bangladesh-select-donors-geocoded-research-release-level-1-v1-1-1,,AidData,Bangladesh,aid,geocode,GIS,development,AIMS,
"DRC AIMS Geocoded Research Release, Version 1.3.1","This dataset includes all geocoded projects in the DRC's Aid Management Platform (AMP). It tracks over $4 billion in commitments for 256 projects across 1,750 locations between 1998 and 2014.",4/5/23,https://www.aiddata.org/data/drc-aims-geocoded-research-release-level-1-v1-3-1,,AidData,Democratic Republic of Congo,aid,geocode,GIS,development,AIMS,
"Honduras AIMS Geocoded Research Release, Version 1.3.1","This dataset includes all geocoded projects in Honduras's Aid Management Platform (AMP). It tracks over $3 billion in commitments for 379 projects across 5,028 locations between 1995 and 2014.",4/5/23,https://www.aiddata.org/data/honduras-aims-geocoded-research-release-level-1-v1-3-1,,AidData,Honduras,aid,geocode,GIS,development,AIMS,
"Iraq AIMS Geocoded Research Release, Version 1.3.1","This dataset includes all external assistance projects in Iraq's Development Assistance Database (DAD). It tracks over $10 billion in commitments for 1,324 projects across 3,624 locations between 2002 and 2014.",4/5/23,https://www.aiddata.org/data/iraq-aims-geocoded-research-release-level-1-v1-3-1,,AidData,Iraq,aid,geocode,GIS,development,AIMS,
"Colombia AIMS Geocoded Research Release, Version 1.1.1","This dataset includes all geocoded projects in Colombia's Aid Information Management System (AIMS). It tracks over $800 million in commitments for 665 projects across 2,981 locations between 1994 and 2014.",4/5/23,https://www.aiddata.org/data/colombia-aims-geocoded-research-release-level-1-v1-1-1,,AidData,Colombia,aid,geocode,GIS,development,AIMS,
"Senegal AIMS Geocoded Research Release, Version 1.5.1","This dataset includes all geocoded projects from Senegal's Aid Management Platform (AMP). It tracks more than $7.2 billion in commitments for 856 projects across 2,314 locations between 1992 and 2014.",4/5/23,https://www.aiddata.org/data/senegal-aims-geocoded-research-release-level-1-v1-5-1,,AidData,Senegal,aid,geocode,GIS,development,AIMS,
"Somalia AIMS Geocoded Research Release, Version 1.1.1","This geocoded dataset includes all external assistance projects in Somalia's Development Assistance Database (DAD). This dataset tracks more than $2.3 billion in commitments for 1,210 projects across 3,130 locations between 2000 and 2014.",4/5/23,https://www.aiddata.org/data/somalia-aims-geocoded-research-release-level-1-v1-1-1,,AidData,Somalia,aid,geocode,GIS,development,AIMS,
"AidData's Chinese Official Finance to Africa Dataset, 2000-2013, Version 1.2","The 1.2 version of AidData's Chinese Official Finance to Africa Dataset tracks 2,647 development finance activities in Africa from 2000 to 2013. The data includes both Chinese aid and non-concessional official financing.",4/5/23,https://www.aiddata.org/data/aiddatas-chinese-official-finance-to-africa-dataset-2000-2013-version-1-2,,AidData,China,finance,development,,,,
World Bank Project-Specific Disbursements,"Gross disbursements of World Bank loans and grants in constant 2011 USD, based on raw data from the World Bank's project website. The data is not geocoded, but includes projects that are geocoded in AidData's World Bank Geocoded Research Release, Version 1.4.2.",4/5/23,https://www.aiddata.org/data/world-bank-project-specific-disbursements,,AidData,World Bank,development,,,,,
Multi-bi Aid,"This site offers data and research on multi-bi aid, earmarked funding to multilateral agencies. This new type of aid – somewhere in between the traditional forms of bilateral and multilateral aid – has massively grown since the end Cold War, but its underlying determinants and implications have only recently started to be studied systematically.",4/5/23,https://www.ipz.uzh.ch/de/forschung/lehrstuehle/ep/research/internationaldevelopment/multi-bi-aid.html,,Institut für Politikwissenschaft,aid,,,,,,
"Saudi Arabia TUFF Donor Dataset, Version 1.0",This dataset systematically covers aid flows from 227 Saudi Arabian projects to 17 recipients across the Middle East and Africa from 2010-2013. It includes both official development aid (ODA) as well as non-concessional lending and Other Official Flows (OOF) from official and semi-official government agencies and officials within Saudi Arabia.,4/5/23,https://www.aiddata.org/data/saudi-arabia-tuff-donor-dataset-level-1-v1-0,,AidData,aid,Saudi Arabia,Middle East,Africa,,,
"Qatar TUFF Donor Dataset, Version 1.0",This dataset systematically covers aid flows from 136 Qatari projects to 13 recipients across the Middle East and Africa from 2010-2013. It includes both official development aid (ODA) as well as non-concessional lending and Other Official Flows (OOF) from official and semi-official government agencies and officials within Qatar.,4/5/23,https://www.aiddata.org/data/qatar-tuff-donor-dataset-level-1-v1-0,,AidData,aid,Qatar,Middle East,Africa,,,
"Aid Locations During Civil Wars South of the Sahara, Version 1.0",This dataset contains data for aid project locations in South-of-Sahara nations that experienced conflict between 1989 and 2008.,4/5/23,https://www.aiddata.org/data/aid-locations-during-civil-wars-south-of-the-sahara-version-1-0,,AidData,aid,Sub-Saharan Africa,geocode,GIS,,,
"Malawi Aid Management Platform Geocoded Research Release, 2000-2011","This dataset contains geocoded aid locations from 30 donor agencies in the Malawi Ministry of Finance's Aid Management Platform. The data include US$5.3 billion in commitments, representing approximately 80% of all external funding reported to the Malawi Ministry of Finance since 2000.",4/5/23,https://www.aiddata.org/data/malawi-release-17-april-2012,,AidData,Malawi,geocode,GIS,,,,
"Brazil's South-South Cooperation, 2005-2011","This raw dataset contains records in Portuguese for Brazil's South-South cooperation projects from 2005 to 2011, provided by Agência Brasileira de Cooperação.",4/5/23,https://www.aiddata.org/data/brazils-south-south-cooperation-2005-2011,,AidData,Brazil,south-south,international relations,,,,
"Taiwan's Lending and Investment projects, 1991-2011","Provided by the Taiwan International Cooperation and Development Fund (TaiwanICDF), this table provides detailed descriptive and financial information about Taiwan's development-oriented lending and investment projects since 1991. These 68 projects have been integrated into AidData, and have received AidData sector and activity codes.",4/5/23,https://www.aiddata.org/data/taiwans-lending-and-investment-projects-1991-2011,,AidData,Taiwan,finance,,,,,
"Liechtenstein's Cooperation Projects, 1981-2008","These 895 records were gathered from the annual reports of the Liechtenstein Development Service. This dataset has AidData sector and activity codes applied, and is formatted and translated into English.",4/5/23,https://www.aiddata.org/data/liechtensteins-cooperation-projects-1981-2008,,AidData,Liechtenstein,development,,,,,
"Lithuanian Development Cooperation, 2009","These 73 project records were gathered from the 2009 project list released by the Development Cooperation and Democracy Promotion Department of the Ministry of Foreign Affairs. They are provided with Lithuanian descriptive information, automatically translated English descriptive information and commitment amounts in Lithuanian Litas.",4/5/23,https://www.aiddata.org/data/lithuanian-development-cooperation-2009,,AidData,Lithuania,development,,,,,
"USAID Projects Database, 1946-1996",This dataset draws information from a public USAID database and was web-scraped and audited by AidData. It includes expanded project descriptions for 6659 projects. AidData sector and activity codes have also been applied. Funding amounts are not included in this dataset.,4/5/23,https://www.aiddata.org/data/usaid-projects-database-1946-1996,,AidData,USAID,aid,,,,,
"Cyprus Delegated Cooperation, Humanitarian Relief and Scholarships, 2006-2010",This dataset is comprised of donor-provided financial information complemented by descriptive information from the public domain for 27 cooperation projects funded or co-funded by the government of Cyprus. It contains a list of scholarships provided by the Development Cooperation of Cyprus (without financial information).,4/5/23,https://www.aiddata.org/data/delegated-cooperation-humanitarian-relief-and-scholarships-of-cyprus-2006-2010,,AidData,Cyprus,aid,,,,,
"AfDB All Approved Projects Datasets, 2009-2010","This dataset contains all African Development Bank activities approved in 2009-2010. In total, there are 183 projects worth over $15 billion in total funding, working in nearly 2,000 locations across 43 African countries. The work was featured in the AfDB's 2011 Annual Development Effectiveness Review.",4/5/23,https://www.aiddata.org/data/afdb-2009-2010-all-approved-projects,,AidData,AfDB,geocode,GIS,,,,
"Czech Republic's International Development Cooperation Activities, 1996-2009","These 1,274 records provided by the Czech Development Agency (CzDA) have financial and descriptive information, as well as unique project IDs. They have been translated, screened, and coded by AidData staff.",4/5/23,https://www.aiddata.org/data/czech-republics-international-development-cooperation-activities-1996-2009,,AidData,Czech Republic,Czechia,development,aid,,,
"Israel's Technical Cooperation, 2002-2009","This document contains descriptive information for 25 technical cooperation projects by Israel's Agency for International Development Cooperation (MASHAV), which are also included in the AidData database. Financial information was not provided for these projects.",4/5/23,https://www.aiddata.org/data/israels-technical-cooperation-2002-2009,,AidData,Israel,development,aid,,,,
European Bank for Reconstruction and Development Project Summary Documents,,4/5/23,https://www.ebrd.com/work-with-us/project-finance/project-summary-documents.html,,EBRD,development,finance,,,,,
Global Affairs Canada's international projects,,4/5/23,https://w05.international.gc.ca/projectbrowser-banqueprojets/filter-filtre,,Canada,development,aid,,,,,
Korean International Cooperation Agency OECD CRS++ 2018-2020 (Korean),,4/5/23,https://stat.koica.go.kr/ipm/os/link/lowData.do?lang=en,,KOICA,aid,development,,,,,
